ISTASYON_NO,AD,ADRES,operator,brand,LATITUDE,LONGITUDE,side
ŞRJ/8118,Dekar Asmalı Bahçeler Asmalı Bahçe Şehir Otoparkı 2,Bahçeşehir 1. Kısım Mahallesi Başöğretmen Caddesi  No:9/1 Başakşehir / İSTANBUL,ALFAMET ENERJİ VE ŞARJ TEKNOLOJİLERİ ANONİM ŞİRKETİ,ADZE,41.097055370281,28.6783470665515,Europe
ŞRJ/8119,Dekar Asmalı Bahçeler Asmalı Bahçe Şehir Otoparkı 3,Bahçeşehir 1. Kısım Mahallesi Başöğretmen Caddesi  No:9/1 Başakşehir / İSTANBUL,ALFAMET ENERJİ VE ŞARJ TEKNOLOJİLERİ ANONİM ŞİRKETİ,ADZE,41.097055370281,28.6783470665515,Europe
ŞRJ/8183,AZUNLAR İLETİŞİM,Demirtaş Mahallesi Prof.cemil Birsel Caddesi  No:14/B Fatih / İSTANBUL,GOŞARJ ELECTRİCAL ENERJİ YATIRIM ANONİM ŞİRKETİ,DYNOPOWER,41.0172566470827,28.9667569175366,Europe
ŞRJ/4405,Bahçeşehir Berit,Bahçeşehir 1. Kısım Mahallesi Simav Sokağı  No:15 Başakşehir / İSTANBUL,SPUR ENERJİ YATIRIMLARI SANAYİ VE TİCARET ANONİM ŞİRKETİ,carbonage,41.0715876149026,28.6943305657309,Europe
ŞRJ/6721,Çınar Park,Cumhuriyet Mahallesi 1990 Sokağı  No:8 Esenyurt / İSTANBUL,SPUR ENERJİ YATIRIMLARI SANAYİ VE TİCARET ANONİM ŞİRKETİ,carbonage,41.0148858484048,28.6463895084564,Europe
ŞRJ/7046,Altın Vadi Konakları,Adnan Kahveci Mahallesi Çamlıca Caddesi Ender Sokağı  No:3 Beylikdüzü / İSTANBUL,SPUR ENERJİ YATIRIMLARI SANAYİ VE TİCARET ANONİM ŞİRKETİ,carbonage,40.9970278611448,28.635693322505,Europe
ŞRJ/7896,Göksupark,Göztepe Mahallesi Şanlı Sokağı Bağcılar / İSTANBUL,SPUR ENERJİ YATIRIMLARI SANAYİ VE TİCARET ANONİM ŞİRKETİ,carbonage,41.056312472697,28.8342477730208,Europe
ŞRJ/8255,GIOev - Akbatı AVM,Koza Mahallesi 1655. Sokağı Esenyurt / İSTANBUL,GİOEV ŞARJ İSTASYONLARI İŞLETMELERİ ANONİM ŞİRKETİ,GIOEV,41.0553445151003,28.6683948559258,Europe
ŞRJ/8261,Shell Yeniköy İstanbul,Yeniköy Mahallesi Köybaşı Caddesi  No:156/A Sarıyer / İSTANBUL,SHELL & TURCAS PETROL ANONİM ŞİRKETİ,SHELL,41.1241041725676,29.0712092173641,Asia
ŞRJ/8288,Bahçeşehir Park 2. Etap Site Yönetimi Otoparkı 2,Başakşehir 2.kısım Mahallesi Hill Park Evleri 2. Kısım Caddesi Barış Sokağı  No:2.Etap C Blok Başakşehir / İSTANBUL,ALFAMET ENERJİ VE ŞARJ TEKNOLOJİLERİ ANONİM ŞİRKETİ,ADZE,41.0736384562007,28.6628874616601,Europe
ŞRJ/8289,Alibey Konakları 1,Alibeyköy Mahallesi Atatürk Caddesi Eyüpsultan / İSTANBUL,ER ELEKTRONİK SANAYİ VE TİCARET ANONİM ŞİRKETİ,GEL DOL,41.0853632588244,28.9467023038951,Europe
